ActivityDate,AverageCalories
2016-04-12,2391.0
2016-04-13,2287.0
2016-04-14,2356.0
2016-04-15,2355.0
2016-04-16,2393.0
2016-04-17,2231.0
2016-04-18,2333.0
2016-04-19,2359.0
2016-04-20,2395.0
2016-04-21,2422.0
2016-04-22,2328.0
2016-04-23,2397.0
2016-04-24,2291.0
2016-04-25,2350.0
2016-04-26,2331.0
2016-04-27,2329.0
2016-04-28,2316.0
2016-04-29,2273.0
2016-04-30,2453.0
2016-05-01,2230.0
2016-05-02,2275.0
2016-05-03,2454.0
2016-05-04,2283.0
2016-05-05,2415.0
2016-05-06,2375.0
2016-05-07,2246.0
2016-05-08,2303.0
2016-05-09,2336.0
2016-05-10,2319.0
2016-05-11,2190.0
2016-05-12,1259.0